Authors,Title,Year,Source title,Cited by,Affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Language of Original Document,Document Type,Publication Stage,Source
Tai K.-T.,Open government research over a decade: A systematic review,2021,Government Information Quarterly,,"School of Public Affairs and Administration, Rutgers University-Newark, 111 Washington St., Newark, NJ  07102, United States","Academic studies of open government have flourished in the last decade. Nevertheless, comprehensive reviews of open government have been limited. This research gap not only impedes our understanding of the overall body of knowledge on open government but also hinders the advancement of existing practices. To address this gap, this article systematically reviews 189 studies published from 2008 to 2019. Guiding this review are the central research questions: (1) How has the concept of open government been defined and conceptualized in the literature? (2) How is open government being used and implemented? (3) What outcomes or impacts are attributed to open government initiatives? This research found that open government is generally conceptualized as a new governing structure emphasizing both transparency (vision) and public participation (voice). However, it also identifies a “transparency-driven focus” for both the case selection of academic studies and practical implementation, which represents a gap between open government theory and practice. This research also reveals the lack of empirical evidence regarding the effects of open government and highlights methodological concerns of prior studies. The article concludes with a discussion on future research. © 2021 Elsevier Inc.",Open government; Open government data; PRISMA; Systematic review; Transparency,,,English,Article,Article in Press,Scopus
"Gonzálvez-Gallego N., Nieto-Torrejón L.",Can open data increase younger generations’ trust in democratic institutions? A study in the European Union,2021,PLoS ONE,,"Faculty of Law and Business Administration, San Antonio Catholic University, Murcia, Spain","Scholars and policy makers are giving increasing attention to how young people are involved in politics and their confidence in the current democratic system. In a context of a global trust crisis in the European Union, this paper examines if open government data, a promising governance strategy, may help to boost Millennials’ and Generation Z trust in public institutions and satisfaction with public outcomes. First, results from our preliminary analysis challenge some popular beliefs by revealing that younger generations tend to trust in their institutions notably more than the rest of the European citizens. In addition, our findings show that open government data is a trust-enabler for Millennials and Generation Z, not only through a direct link between both, but also thanks to the mediator role of citizens’ satisfaction. Accordingly, public officers are encouraged to spread the implementation of open data strategies as a way to improve younger generations’ attachment to democratic institutions. Copyright: © 2021 Gonzálvez-Gallego, Nieto-Torrejón. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,article; European Union; government; human; satisfaction; trust,"Gonzálvez-Gallego, N.; Faculty of Law and Business Administration, Spain; email: ngonzalvez@ucam.edu",English,Article,Final,Scopus
"Agarwal S., Narang N.",Machine Learning Techniques for Predicting Crop Production in India,2021,Advances in Intelligent Systems and Computing,,"Department of Computer and Communication Engineering, Manipal University Jaipur, Jaipur, Rajastan  303007, India; Department of ECE, Microwave Imaging and Space Technology Application Laboratory, Indian Institute of Technology Roorkee, Roorkee, Uttarakhand  247667, India","The agricultural production analysis is an important study for a country like India where agriculture is one of the leading sectors in economic growth. The data analysis can lead to extraction of future patterns and accurate and precise predictions important for agronomy. This paper intends to design a supervised prediction system that can predict crop production based on previous statistics of the type of crop, area, and productivity. The dataset made available by Open Government Data (OGD) Platform India is used for performing the analysis. © 2021, Springer Nature Singapore Pte Ltd.",Crop production; Data mining; Machine learning,Agricultural robots; Crops; Cultivation; Economics; Forecasting; Intelligent computing; Machine learning; Agricultural productions; Crop production; Economic growths; Machine learning techniques; Prediction systems; Computer vision,"Narang, N.; Department of Computer and Communication Engineering, India; email: naina.nnarang@gmail.com",English,Conference Paper,Final,Scopus
Jarke J.,Mobile age: Co-creating digital public services with and for older citizens,2021,Public Administration and Information Technology,,"Institute for Information Management Bremen (ifib) & Centre for Media, Communication and Information Research (ZeMKI), University of Bremen, Bremen, Germany","This book describes and compares three co-creation projects that were conducted in two European cities as part of a larger EU-funded innovation project called Mobile Age. This chapter introduces Mobile Age and presents the project’s framework and methodology for co-creating digital public services. Part of the framework are seven streams of activity that need to be considered. These streams of activity are not sequential but run in parallel and inform each other: (1) governing and managing a co-creation process; (2) continuous recruitment and engagement of stakeholders; (3) co-creating a service concept; (4) working with (open) (government) data; (5) co-creating software; (6) evaluating the co-creation process and its results; and (7) exploiting and disseminating the co-created service. All three co-creation projects featured in this book are described along those streams of activity. In addition, for each project its specific problem focus, target audiences, value propositions and resources are provided. © 2020, The Author(s).",Age-friendly city; Co-creation; Digital public services; E-services; EU-project; Framework; Mobile age; Older adults; Social participation; Value proposition,,"Jarke, J.; Institute for Information Management Bremen (ifib) & Centre for Media, Germany",English,Book Chapter,Final,Scopus
"Galeone C., Bonzi R., Mariani P.",The Role of Open Data in Healthcare Research,2021,"Studies in Classification, Data Analysis, and Knowledge Organization",,"Department of Clinical Sciences and Community Health, University of Milan, Milan, Italy; Department of Economics, Management and Statistics, University of Milano-Bicocca, Milan, Italy","The generation and storage of data have dramatically increased worldwide in the last two decades. Computing and networking capabilities combined with openness enhance the potential impact of the accumulated data, offering society an opportunity to drive massive social, political, and economic change. Open data is a recent approach. In summary, open data can be freely used, shared, and built-on by anyone, anywhere, for any purpose. Though health open data are not regularly available, it is estimated that the value of a more effective use of data resources in the US health care sector alone could be worth USD 300 billion annually. To date, Open Government data count more than 10,000 datasets in Italy but only a few concern healthcare. In this chapter, we will try to clarify what open data are and, after having recalled the principles of Open Government, the attention will draw on open data in the health and pharmaceutical context, focusing on the state of the art in Italy and worldwide. © 2021, Springer Nature Switzerland AG.",Linked data; Open data; Open government,Data Science; Digital storage; Economic and social effects; Health care; Data resources; Healthcare sectors; Potential impacts; State of the art; Open Data,"Galeone, C.; Department of Clinical Sciences and Community Health, Italy; email: carlotta.galeone@gmail.com",English,Conference Paper,Final,Scopus
"Kumar A., Singh D.P.","Heat stroke-related deaths in India: An analysis of natural causes of deaths, associated with the regional heatwave",2021,Journal of Thermal Biology,,"Disaster Studies at Tata Institute of Social Sciences (TISS), Mumbai, India; School of Research Methodology at Tata Institute of Social Sciences, Mumbai, Maharashtra  400088, India","Soaring temperatures cause deaths in large numbers in various parts of India. The number of deaths vary with region and are influenced by the demographics and socioeconomic characteristics of the region. This study tried to estimate the number of deaths associated with exposure to heat in the different states of India. Secondary data was used, which was collected from the website data.gov.in, an Open Government Data (OGD) Platform of the Indian government. Descriptive statistics were applied using Microsoft Excel-10. It was found that there 3014 men died from heat-related causes in 2001–05, which increased to 5157 in the period 2011–15. For women the number of deaths in the corresponding periods were 849 and 1254 respectively. Deaths caused by heatwaves were found to be higher than those resulting from avalanches, exposure to cold, cyclone, tornado, starvation due to natural calamity, earthquake, epidemic, flood, landslide, torrential rain and forest fire. The study revealed that there are regional variations in the number deaths due to heatstroke. From the perspective of disaster preparedness, it is important to note that deaths from heat strokes occur every year. With rising temperatures, the numbers are likely to increase. The findings of the study highlight this concern. Therefore, there is a need for targeted region-specific interventions for reducing the number of deaths due to heatwaves. © 2020 Elsevier Ltd",,,"Kumar, A.; Jamsetji Tata School of Disaster Studies, India; email: mp2019dm001@tiss.edu",English,Article,Final,Scopus
"Hsu I.-C., Lin Y.-H.",Integrated machine learning with semantic web for open government data recommendation based on cloud computing,2020,Software - Practice and Experience,,"Department of Computer Science and Information Engineering, National Formosa University, Huwei Township, Taiwan","Open government data (OGD) is a type of trusted information that can be used to verify the correctness of information on social platforms. Finding interesting OGD to serve personalized needs to facilitate the development of social platforms is a challenging research topic. This study explores how to link the Taiwanese government's open data platform with Facebook and how to recommend related OGD. First, an integrated machine learning with semantic web into cloud computing framework is defined. Next, the linked data query platform (LDQP) is developed to validate its feasibility. The LDQP provides a graphical approach for personal query and links with related Facebook fan pages. LDQP automatically finds highly relevant OGD based on recent topics that users are following on Facebook when users login to Facebook via the LDQP. In this way, the LDQP query result can be dynamically adjusted and graphically displayed according to user's Facebook operations. © 2020 John Wiley & Sons Ltd",cloud computing; machine learning; open government data; semantic web,Cloud computing; Government data processing; Machine learning; Semantic Web; Social networking (online); Data platform; Facebook; Graphical approach; Integrated machines; Linked data queries; Query results; Research topics; Open Data,"Hsu, I.-C.; Department of Computer Science and Information Engineering, Taiwan; email: hsuic@nfu.edu.tw",English,Article,Final,Scopus
"Marjanovic O., Cecez-Kecmanovic D.",Open government data platforms – A complex adaptive sociomaterial systems perspective,2020,Information and Organization,,"School of Professional Practice & Leadership, Faculty of Engineering and IT, University of Technology Sydney, Building 11, Room 11.10.213, PO Box 123, Broadway, NSW  2007, Australia; UNSW Business School, School of Information Systems and Technology Management, NSW  2052, Australia","In this paper we focus on the emerging phenomenon of Open Government Data Platforms (OGDPs), in particular those that provide open performance data to general public. Governments world-wide continue to implement these platforms, aiming to increase transparency and accountability. However, in spite of their positive intentions, ODGPs that provide performance data (e.g. about schools or hospitals) are reported to create serious harmful social effects. While the related literature has reported numerous cases of these unintended effects, the questions regarding why and how they emerge remain open. This is not surprising, given the complexity and dynamics of processes instigated through the use of ODGPs by a very large number of known and unknowable actors. Through a diffractive reading of complexity theories, in particular Complex Adaptive Systems (CAS) and sociomateriality, in this paper we propose a Complex Adaptive Sociomaterial Systems (CASS) theorization of OGDPs. Drawing from a case of OGDP in Australia called My School, which provides open performance data for more than 10.000 schools, we demonstrate how the proposed theoretical lens of CASS enables us to reveal and explain why and how these platforms perform unintended, yet serious social harm. Given that OGDPs are rapidly emerging around the world, our research opens a pathway for a research-informed public discourse about their harmful effects and responsibilities of different stakeholders. © 2020 Elsevier Ltd","Complex adaptive sociomaterial systems; Complex adaptive systems; Harmful social effects; Open data platforms; Open government data platforms, open performance data; Sociomateriality",,"Marjanovic, O.; School of Professional Practice & Leadership, Building 11, Room 11.10.213, PO Box 123, Australia; email: olivera.marjanovic@uts.edu.au",English,Article,Final,Scopus
"Milojevic-Dupont N., Hans N., Kaack L.H., Zumwald M., Andrieux F., de Barros Soares D., Lohrey S., Pichler P.-P., Creutzig F.",Learning from urban form to predict building heights,2020,PLoS ONE,,"Chair of Sustainability Economics, School of Planning, Building and Environment, Technische Universität Berlin, Berlin, Germany; Working group Land Use, Infrastructure and Transport, Mercator Research Institute on Global Commons and Climate Change (MCC), Berlin, Germany; Applied Statistics, School of Business and Economics, Humboldt-Universität zu Berlin, Berlin, Germany; Department of Humanities, Energy Politics Group, Social and Political Sciences, ETH Zürich, Zürich, Switzerland; Department of Environmental Systems Science, Weather and Climate Risk Group, ETH Zürich, Zürich, Switzerland; Climate Physics Group, Department of Environmental Systems Science, ETH Zürich, Zürich, Switzerland; Nam.R, Paris, France; FutureLab Social Metabolism and Impacts, Potsdam Institute for Climate Impact Research (PIK), Potsdam, Germany","Understanding cities as complex systems, sustainable urban planning depends on reliable high-resolution data, for example of the building stock to upscale region-wide retrofit policies. For some cities and regions, these data exist in detailed 3D models based on real-world measurements. However, they are still expensive to build and maintain, a significant challenge, especially for small and medium-sized cities that are home to the majority of the European population. New methods are needed to estimate relevant building stock characteristics reliably and cost-effectively. Here, we present a machine learning based method for predicting building heights, which is based only on open-access geospatial data on urban form, such as building footprints and street networks. The method allows to predict building heights for regions where no dedicated 3D models exist currently. We train our model using building data from four European countries (France, Italy, the Netherlands, and Germany) and find that the morphology of the urban fabric surrounding a given building is highly predictive of the height of the building. A test on the German state of Brandenburg shows that our model predicts building heights with an average error well below the typical floor height (about 2.5 m), without having access to training data from Germany. Furthermore, we show that even a small amount of local height data obtained by citizens substantially improves the prediction accuracy. Our results illustrate the possibility of predicting missing data on urban infrastructure; they also underline the value of open government data and volunteered geographic information for scientific applications, such as contextual but scalable strategies to mitigate climate change. © 2020 Milojevic-Dupont et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,adult; article; climate change; France; Germany; government; Italy; machine learning; Netherlands; prediction; city; city planning; economics; Europe; forecasting; procedures; sustainable development; Cities; City Planning; Europe; Forecasting; Machine Learning; Sustainable Development,"Milojevic-Dupont, N.; Chair of Sustainability Economics, Germany; email: milojevic@mcc-berlin.net",English,Article,Final,Scopus
"Seufitelli D.B., Mata W.R.R., Souza R.C., Brandão M.A., Moro M.M.",Characterization and Analysis of Open Brazilian Judiciary Data,2020,ACM International Conference Proceeding Series,,"Universidade Federal de Minas Gerais, Brazil; Instituto Federal de Minas Gerais, Brazil","Govern transparency is widely accepted as an effective democratic process in many countries. In Brazil, the information-access law contributes to public administration transparency, as public data is available on the Web. However, such data are in different formats and not standardized, which makes it difficult to obtain information, mainly in an automated way. Hence, this work presents an enrichment methodology for an existing open Brazilian judiciary database, a characterization of the available data, and an analysis of the data about judiciary professionals and their earns. The results reveal a lack of linear correlations between the high salaries and their personal benefits. Also, there is a discrepancy between Judiciary salaries and advantages through Brazilian regions, which may be explained by the higher living costs in some regions. Finally, our study reveals the administrative Brazilian Judiciary data do not conform to all Open Government Data principles, and the enriched database helps to solve such problems. © 2020 ACM.",content processing; data analysis; open data,Open Data; Transparency; Wages; Democratic process; Information access; Linear correlation; Public data; Public administration,,English,Conference Paper,Final,Scopus
